Original,Fuzzy,SJR,H index
Journal of Anatomy,Journal of Anatomy,"1,078",99
Pharmaceutical Research,Pharmaceutical Research,"1,077",182
Journal of Endocrinological Investigation,Journal of Endocrinological Investigation,"1,076",72
Journal of Biomolecular Screening,Journal of Biomolecular Screening,"1,074",66
Current Hematologic Malignancy Reports,Current Hematologic Malignancy Reports,"1,072",25
Muscle and Nerve,Muscle and Nerve,"1,072",129
Colloids and Surfaces B: Biointerfaces,Colloids and Surfaces B: Biointerfaces,"1,071",118
Life Sciences,Life Sciences,"1,071",145
Calcified Tissue International,Calcified Tissue International,"1,070",103
European Journal of Medical Genetics,European Journal of Medical Genetics,"1,066",47
NeuroImmunoModulation,NeuroImmunoModulation,"1,064",57
Leukemia Research,Leukemia Research,"1,063",78
Magnetic Resonance Imaging,Magnetic Resonance Imaging,"1,063",97
"Protein Engineering, Design and Selection","Protein Engineering, Design and Selection","1,063",98
Plant Pathology,Plant Pathology,"1,063",70
Antibiotics,Antibiotics,"1,063",16
Chinese Journal of Cancer Research,Chinese Journal of Cancer Research,"1,061",23
Maturitas,Maturitas,"1,061",88
Neurochemical Research,Neurochemical Research,"1,060",105
Molecular Membrane Biology,Molecular Membrane Biology,"1,060",70
Clinical and molecular hepatology,Clinical and molecular hepatology,"1,059",27
Growth Hormone and IGF Research,Growth Hormone and IGF Research,"1,059",54
Journal of the American Society for Mass Spectrometry,Journal of the American Society for Mass Spectrometry,"1,058",113
Mechanisms of Development,Mechanisms of Development,"1,049",131
Phytochemistry,Phytochemistry,"1,048",153
Histochemistry and Cell Biology,Histochemistry and Cell Biology,"1,044",90
Free Radical Research,Free Radical Research,"1,044",109
Pancreatology,Pancreatology,"1,043",63
Cytometry Part B - Clinical Cytometry,Cytometry Part B - Clinical Cytometry,"1,042",50
Neuropeptides,Neuropeptides,"1,038",61
BioDrugs,BioDrugs,"1,038",57
Journal of Bioenergetics and Biomembranes,Journal of Bioenergetics and Biomembranes,"1,033",91
Assay and Drug Development Technologies,Assay and Drug Development Technologies,"1,033",50
Journal of Neurogenetics,Journal of Neurogenetics,"1,032",31
Innate immunity,Innate immunity,"1,031",61
Cold Spring Harbor Protocols,Cold Spring Harbor Protocols,"1,030",33
Journal of Physiological Sciences,Journal of Physiological Sciences,"1,029",41
Journal of Biophotonics,Journal of Biophotonics,"1,028",50
Sub-Cellular Biochemistry,Sub-Cellular Biochemistry,"1,026",55
Metabolites,Metabolites,"1,026",20
International Journal of Breast Cancer,International Journal of Breast Cancer,"1,025",8
Mutation Research - Fundamental and Molecular Mechanisms of Mutagenesis,Mutation Research - Fundamental and Molecular Mechanisms of Mutagenesis,"1,024",145
BMC Structural Biology,BMC Structural Biology,"1,024",47
Experimental and Molecular Pathology,Experimental and Molecular Pathology,"1,023",57
Cell Transplantation,Cell Transplant,"1,023",86
European Journal of Cancer Prevention,European Journal of Cancer Prevention,"1,021",71
Hormone Molecular Biology and Clinical Investigation,Hormone Molecular Biology and Clinical Investigation,"1,021",16
International Journal for Numerical Methods in Biomedical Engineering,International Journal for Numerical Methods in Biomedical Engineering,"1,021",48
Gene,Gene,"1,019",160
Macromolecular Bioscience,Macromolecular Bioscience,"1,017",87
IEEE Journal of the Electron Devices Society,IEEE Journal of the Electron Devices Society,"1,016",17
AICHE Journal,AICHE Journal,"1,015",140
Current Medicinal Chemistry,Current Medicinal Chemistry,"1,015",153
Oncology,Oncology,"1,013",90
Visual Neuroscience,Visual Neuroscience,"1,012",73
International Journal of Endocrinology,International Journal of Endocrinology,"1,012",40
BMC Biotechnology,BMC Biotechnology,"1,012",65
Oncology Reports,Oncology Reports,"1,011",79
Archives of Gerontology and Geriatrics,Archives of Gerontology and Geriatrics,"1,010",58
Nephron,Nephron,"1,009",66
Molecular and Cellular Biochemistry,Molecular and Cellular Biochemistry,"1,003",110
Radiation Research,Radiation Research,"1,002",111
Proteomics - Clinical Applications,Proteomics - Clinical Applications,"1,002",45
Phytochemistry Reviews,Phytochemistry Reviews,"1,001",65
Peptides,Peptides,"1,001",106
Clinical Breast Cancer,Clinical Breast Cancer,"1,000",61
Current molecular pharmacology,Current molecular pharmacology,"0,996",34
Development Genes and Evolution,Development Genes and Evolution,"0,994",68
International Journal of Molecular Medicine,International Journal of Molecular Medicine,"0,992",78
IEEE Journal of Biomedical and Health Informatics,IEEE Journal of Biomedical and Health Informatics,"0,991",94
Cell Stress and Chaperones,Cell Stress and Chaperones,"0,987",75
International Journal of Developmental Neuroscience,International Journal of Developmental Neuroscience,"0,986",80
Journal of Pharmacological Sciences,Journal of Pharmacological Sciences,"0,986",72
Clinical Biochemistry,Clinical Biochemistry,"0,984",95
Interface Focus,Interface Focus,"0,983",32
Clinical Biomechanics,Clinical Biomechanics,"0,982",110
BioData Mining,BioData Mining,"0,982",20
Journal of Molecular Histology,Journal of Molecular Histology,"0,981",51
Journal of Experimental Pharmacology,Journal of Experimental Pharmacology,"0,981",4
Development Growth and Differentiation,Development Growth and Differentiation,"0,978",58
Analytical and Bioanalytical Chemistry,Analytical and Bioanalytical Chemistry,"0,978",142
Leukemia and Lymphoma,Leukemia and Lymphoma,"0,976",79
Cancer Treatment and Research,Cancer Treatment and Research,"0,974",47
Microvascular Research,Microvascular Research,"0,974",81
Adaptive Human Behavior and Physiology,Adaptive Human Behavior and Physiology,"0,973",8
American Journal of Clinical Oncology,American Journal of Clinical Oncology,"0,973",70
New Biotechnology,New Biotechnology,"0,967",71
Frontiers in Bioscience - Landmark,Frontiers in Bioscience - Landmark,"0,963",127
Familial Cancer,Familial Cancer,"0,963",47
Mobile Genetic Elements,Mobile Genetic Elements,"0,962",5
Biochemia Medica,Biochemia Medica,"0,961",31
Tree Genetics and Genomes,Tree Genetics and Genomes,"0,959",47
"Food and Bioproducts Processing: Transactions of the Institution of of Chemical Engineers, Part C","Food and Bioproducts Processing: Transactions of the Institution of of Chemical Engineers, Part C","0,957",50
Metallomics,Metallomics,"0,954",53
Current Protocols in Cell Biology,Current Protocols in Cell Biology,"0,953",26
"Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology","Journal of Comparative Physiology B: Biochemical, Systemic, and Environmental Physiology","0,952",67
Journal of Physiology and Pharmacology,Journal of Physiology and Pharmacology,"0,952",68
Current Gene Therapy,Current Gene Therapy,"0,951",63
Current Cancer Drug Targets,Current Cancer Drug Targets,"0,951",83
Mycorrhiza,Mycorrhiza,"0,949",75
Expert Review of Proteomics,Expert Review of Proteomics,"0,949",51
Journal of Clinical Biochemistry and Nutrition,Journal of Clinical Biochemistry and Nutrition,"0,948",46
Physiological Reports,Physiological Reports,"0,948",19
Biomolecules and Therapeutics,Biomolecules and Therapeutics,"0,946",21
Electrolyte and Blood Pressure,Electrolyte and Blood Pressure,"0,946",12
Critical Reviews in Oncogenesis,Critical Reviews in Oncogenesis,"0,946",41
Japanese Journal of Clinical Oncology,Japanese Journal of Clinical Oncology,"0,942",77
Islets,Islets,"0,941",27
OMICS A Journal of Integrative Biology,OMICS A Journal of Integrative Biology,"0,941",50
International Journal of Hyperthermia,International Journal of Hyperthermia,"0,941",69
Vitamins and Hormones,Vitamins and Hormones,"0,939",63
BMC Physiology,BMC Physiology,"0,936",36
Journal of Muscle Research and Cell Motility,Journal of Muscle Research and Cell Motility,"0,936",59
BioMed Research International,BioMed Research International,"0,935",82
Clinical and Molecular Allergy,Clinical and Molecular Allergy,"0,933",29
Pharmacogenetics and Genomics,Pharmacogenetics and Genomics,"0,933",131
Nephron - Experimental Nephrology,Nephron - Experimental Nephrology,"0,933",37
Ultrasound in Medicine and Biology,Ultrasound in Medicine and Biology,"0,932",117
Current Molecular Medicine,Current Molecular Medicine,"0,932",90
Journal of Trace Elements in Medicine and Biology,Journal of Trace Elements in Medicine and Biology,"0,932",56
Journal of Biological Inorganic Chemistry,Journal of Biological Inorganic Chemistry,"0,931",92
Journal of Biotechnology,Journal of Biotechnology,"0,929",133
Experimental Biology and Medicine,Experimental Biology and Medicine,"0,928",134
Oncology Reviews,Oncology Reviews,"0,926",10
F1000Research,F1000Research,"0,926",21
Journal of Water Process Engineering,Journal of Water Process Engineering,"0,925",20
Results and Problems in Cell Differentiation,Results and Problems in Cell Differentiation,"0,924",40
Conservation Genetics,Conservation Genetics,"0,924",63
Cell Biology and Toxicology,Cell Biology and Toxicology,"0,924",55
Comparative Biochemistry and Physiology - Part D: Genomics and Proteomics,Comparative Biochemistry and Physiology - Part D: Genomics and Proteomics,"0,923",34
Molecular Diagnosis and Therapy,Molecular Diagnosis and Therapy,"0,923",33
Advances in Neurobiology,Advances in Neurobiology,"0,923",8
Current Genomics,Current Genomics,"0,922",51
Journal of Pharmaceutical and Biomedical Analysis,Journal of Pharmaceutical and Biomedical Analysis,"0,919",108
Hormone and Metabolic Research,Hormone and Metabolic Research,"0,918",84
International Journal of Biological Macromolecules,International Journal of Biological Macromolecules,"0,917",92
Immunogenetics,Immunogenetics,"0,916",82
Mutagenesis,Mutagenesis,"0,916",81
Lipids in Health and Disease,Lipids in Health and Disease,"0,915",53
Review of Diabetic Studies,Review of Diabetic Studies,"0,915",31
Adipocyte,Adipocyte,"0,914",7
BioResearch Open Access,BioResearch Open Access,"0,914",11
Journal of Molecular Evolution,Journal of Molecular Evolution,"0,911",116
Metabolic Brain Disease,Metabolic Brain Disease,"0,909",57
Plasmid,Plasmid,"0,906",52
"Microscopy (Oxford, England)","Microscopy (Oxford, England)","0,906",45
Current Drug Targets,Current Drug Targets,"0,906",89
Hormone Research in Paediatrics,Hormone Research in Paediatrics,"0,905",79
Transgenic Research,Transgenic Research,"0,904",74
Steroids,Steroids,"0,904",91
Physiological and Biochemical Zoology,Physiological and Biochemical Zoology,"0,904",75
Disease Markers,Disease Markers,"0,900",56
Evolutionary Bioinformatics,Evolutionary Bioinformatics,"0,900",25
Developmental and Comparative Immunology,Developmental and Comparative Immunology,"0,899",95
Marine Genomics,Marine Genomics,"0,899",23
Oncology Research,Oncology Research,"0,896",51
"Clinical Lymphoma, Myeloma and Leukemia","Clinical Lymphoma, Myeloma and Leukemia","0,895",43
Current Problems in Cancer,Current Problems in Cancer,"0,895",30
Marine Biotechnology,Marine Biotechnology,"0,894",67
Human gene therapy methods,Human gene therapy methods,"0,894",17
Food Bioscience,Food Bioscience,"0,892",13
Prostate Cancer,Prostate Cancer,"0,890",6
Domestic Animal Endocrinology,Domestic Animal Endocrinology,"0,887",66
Analytical Cellular Pathology,Analytical Cellular Pathology,"0,886",15
Journal of Physiology and Biochemistry,Journal of Physiology and Biochemistry,"0,886",38
Current Chemical Genomics and Translational Medicine,Current Chemical Genomics and Translational Medicine,"0,886",4
FEBS Open Bio,FEBS Open Bio,"0,884",21
Journal of Peptide Science,Journal of Peptide Science,"0,883",58
"Channels (Austin, Tex.)",Channels (Austin),"0,881",34
Current Diabetes Reviews,Current Diabetes Reviews,"0,879",45
European Journal of Histochemistry,European Journal of Histochemistry,"0,879",37
International Journal of Stem Cells,International Journal of Stem Cells,"0,879",16
Arthropod Systematics and Phylogeny,Arthropod Systematics and Phylogeny,"0,878",14
Pituitary,Pituitary,"0,876",54
Clinical Physiology and Functional Imaging,Clinical Physiology and Functional Imaging,"0,876",56
DNA and Cell Biology,DNA and Cell Biology,"0,872",68
Bioorganic and Medicinal Chemistry,Bioorganic and Medicinal Chemistry,"0,871",136
Biochemical Engineering Journal,Biochemical Engineering Journal,"0,870",102
International Journal of Genomics,International Journal of Genomics,"0,868",13
Molecular Syndromology,Molecular Syndromology,"0,867",23
Advances in Experimental Medicine and Biology,Advances in Experimental Medicine and Biology,"0,867",104
Journal of Veterinary Cardiology,Journal of Veterinary Cardiology,"0,864",30
Biopreservation and Biobanking,Biopreservation and Biobanking,"0,864",26
Systematic Botany,Systematic Botany,"0,862",63
Cancer Journal,Cancer Journal,"0,861",69
High Altitude Medicine and Biology,High Altitude Medicine and Biology,"0,861",44
Biopolymers,Biopolymers,"0,861",111
Biomolecular Concepts,Biomolecular Concepts,"0,861",19
Current Protein and Peptide Science,Current Protein and Peptide Science,"0,858",71
Cancer Investigation,Cancer Investigation,"0,858",74
Yale Journal of Biology and Medicine,Yale Journal of Biology and Medicine,"0,858",39
Biochemistry and Cell Biology,Biochemistry and Cell Biology,"0,856",84
Plant Molecular Biology Reporter,Plant Molecular Biology Reporter,"0,856",53
Molecules,Molecules,"0,855",102
Infectious Agents and Cancer,Infectious Agents and Cancer,"0,855",28
Birth Defects Research Part A - Clinical and Molecular Teratology,Birth Defects Research Part A - Clinical and Molecular Teratology,"0,852",84
Archaea,Archaea,"0,852",32
Bioorganic Chemistry,Bioorganic Chemistry,"0,850",47
Bioelectrochemistry,Bioelectrochemistry,"0,850",82
Frontiers in Bioscience - Scholar,Frontiers in Bioscience - Scholar,"0,849",35
Structural Health Monitoring,Structural Health Monitoring,"0,849",49
Clinical and Experimental Medicine,Clinical and Experimental Medicine,"0,848",38
Endocrine development,Endocrine development,"0,848",31
Journal of Animal Science,Journal of Animal Science,"0,848",131
Antioxidants,Antioxidants,"0,847",16
Molecular and Cellular Pharmacology,Molecular and Cellular Pharmacology,"0,846",18
Pharmacogenomics,Pharmacogenomics,"0,845",80
Current Pharmacology Reports,Current Pharmacology Reports,"0,844",10
MedChemComm,MedChemComm,"0,843",39
Progress in Drug Research,Progress in Drug Research,"0,843",37
Experimental Hematology and Oncology,Experimental Hematology and Oncology,"0,842",15
Phytochemical Analysis,Phytochemical Analysis,"0,841",61
Synthetic and Systems Biotechnology,Synthetic and Systems Biotechnology,"0,841",2
Acta Naturae,Acta Naturae,"0,841",14
Clinics in Laboratory Medicine,Clinics in Laboratory Medicine,"0,839",47
Cardiovascular Toxicology,Cardiovascular Toxicology,"0,836",45
Journal of Cell Communication and Signaling,Journal of Cell Communication and Signaling,"0,836",32
