School_Name,School_year,Reported,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,Location 1
JULIA BUTLER HANSEN ELEMENTARY,2016-17,Y,462,84.6,3.2,0.9,1.9,0.4,0,2.8,2.8,2.8,3,2.8,2.8,391,15,4,9,2,0,13,13,13,14,13,13,OLYMPIA SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -5,Y,N,"1919 ROAD SIXTY FIVE NW
OLYMPIA"
KAHLOTUS ELEM & HIGH,2016-17,Y,46,84.8,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,KAHLOTUS SCHOOL DISTRICT,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,PK-12,Y,Y,"PO BOX 69
KAHLOTUS"
KELLER ELEMENTARY SCHOOL,2016-17,Y,27,100,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,KELLER SCHOOL DISTRICT,FERRY,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y,"P.O. BOX 367
KELLER"
KETTLE FALLS ELEMENTARY SCHOOL,2016-17,Y,287,89.2,9.1,1.4,3.8,1.4,2.8,6.6,6.6,6.6,6.6,7.3,5.2,256,26,4,11,4,8,19,19,19,19,21,15,KETTLE FALLS SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,K -4,Y,N,"PO BOX 458
KETTLE FALLS"
KETTLE FALLS HIGH SCHOOL,2016-17,Y,217,87.1,12,0.9,10.1,0,1.4,4.1,3.7,6,5.1,7.8,4.1,189,26,2,22,0,3,9,8,13,11,17,9,KETTLE FALLS SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,12-Sep,N,N,"PO BOX 458
KETTLE FALLS"
KETTLE FALLS MIDDLE SCHOOL,2016-17,Y,224,83.9,15.6,0,13.4,1.3,1.8,10.3,8.9,8,9.4,11.2,8.5,188,35,0,30,3,4,23,20,18,21,25,19,KETTLE FALLS SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,8-May,N,Y,"PO BOX 458
KETTLE FALLS"
KITTITAS ELEMENTARY SCHOOL,2016-17,Y,269,88.8,2.2,0,1.9,0.7,0,1.9,1.9,1.9,1.1,1.1,1.9,239,6,0,5,2,0,5,5,5,3,3,5,KITTITAS SCHOOL DISTRICT,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N,"PO BOX 599
KITTITAS"
KITTITAS HIGH SCHOOL,2016-17,Y,367,64.9,6.8,0.8,5.4,0.8,0,3.5,3.5,3.5,3.3,3.5,5.2,238,25,3,20,3,0,13,13,13,12,13,19,KITTITAS SCHOOL DISTRICT,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,12-Jun,N,Y,"PO BOX 599
KITTITAS"
KLAHOWYA SECONDARY,2016-17,Y,1086,91.4,4.2,1.1,2.9,0.2,0,2.7,2.7,1.9,2.3,2.2,2.6,993,46,12,32,2,0,29,29,21,25,24,28,CENTRAL KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,12-Jul,N,N,"P.O. BOX 8
SILVERDALE"
KLICKITAT ELEM & HIGH,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,KLICKITAT SCHOOL DISTRICT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,K -12,Y,Y,"P. O. BOX 37
KLICKITAT"
LA CENTER ELEMENTARY,2016-17,Y,714,85.3,9.1,2,5.7,1.4,0,6.3,6.3,6.6,6.4,6.3,8.4,609,65,14,41,10,0,45,45,47,46,45,60,LA CENTER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"PO BOX 1810
LA CENTER"
LA CONNER ELEMENTARY,2016-17,Y,239,83.3,2.9,1.3,1.3,0,0.4,1.3,1.3,1.3,1.7,1.3,1.7,199,7,3,3,0,1,3,3,3,4,3,4,LA CONNER SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,"PO BOX 2103
LA CONNER"
LA CONNER HIGH SCHOOL,2016-17,Y,193,73.1,7.3,0.5,6.7,0,0,4.1,4.1,4.1,4.1,3.6,6.2,141,14,1,13,0,0,8,8,8,8,7,12,LA CONNER SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,12-Sep,N,N,"PO BOX 2103
LA CONNER"
LA CONNER MIDDLE,2016-17,Y,142,62,3.5,0,3.5,0.7,0,2.1,2.1,1.4,1.4,1.4,3.5,88,5,0,5,1,0,3,3,2,2,2,5,LA CONNER SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,8-Jun,N,Y,"PO BOX 2103
LA CONNER"
LACROSSE HIGH SCHOOL,2016-17,Y,21,85.7,4.8,0,4.8,0,0,4.8,4.8,0,0,0,4.8,18,1,0,1,0,0,1,1,0,0,0,1,LACROSSE SCHOOL DISTRICT,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,12-Sep,N,N,"100 HILL STREET
LACROSSE"
LAKE YOUNGS ELEMENTARY SCHOOL,2016-17,Y,487,93.4,4.9,0.6,4.3,0.2,0.2,3.1,2.9,3.5,2.7,2.5,3.9,455,24,3,21,1,1,15,14,17,13,12,19,KENT SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"19660 142ND AVE SE
KENT"
LAKEWOOD ELEMENTARY SCHOOL,2016-17,Y,385,89.6,5.5,2.6,3.1,0,0,2.3,2.3,3.1,2.3,2.9,5.2,345,21,10,12,0,0,9,9,12,9,11,20,LAKEWOOD SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N,"P.O. BOX 40
NORTH LAKEWOOD"
LAKEWOOD HIGH SCHOOL,2016-17,Y,737,64.9,8.1,3.9,3.9,0.5,0.4,3.1,2.4,2.4,2.4,2.2,6.1,478,60,29,29,4,3,23,18,18,18,16,45,LAKEWOOD SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,12-Sep,N,N,"PO BOX 10
NORTH LAKEWOOD"
LAKEWOOD MIDDLE SCHOOL,2016-17,Y,570,71.9,7.5,2.3,5.6,0.4,0,3.2,2.5,3.9,2.6,3,6.1,410,43,13,32,2,0,18,14,22,15,17,35,LAKEWOOD SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,8-Jun,N,Y,"P.O. BOX 9
NORTH LAKEWOOD"
LES LILAS FRENCH BILINGUAL COMMUNITY SCHOOL,2016-17,Y,7,100,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-2,Y,N,"6601 132ND AVE NE (MAIL: 11935 SE 76TH ST NEWCASTLE WA 98056-1777)
KIRKLAND"
LEWIS AND CLARK ELEMENTARY SCH,2016-17,Y,482,97.3,2.3,0,2.3,0,0,1.2,1.2,1.2,1,1.7,1.2,469,11,0,11,0,0,6,6,6,5,8,6,WENATCHEE SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N,"1130 PRINCETON
WENATCHEE"
LINCOLN ELEMENTARY SCHOOL,2016-17,Y,596,96.8,2.5,0.8,1.5,0.2,0,2,2,2.2,2.2,1.8,2.3,577,15,5,9,1,0,12,12,13,13,11,14,KENNEWICK SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N,"4901 WEST 21ST AVENUE
KENNEWICK"
LIND ELEMENTARY SCHOOL,2016-17,Y,98,89.8,8.2,1,7.1,0,0,3.1,3.1,3.1,3.1,2,8.2,88,8,1,7,0,0,3,3,3,3,2,8,LIND SCHOOL DISTRICT,ADAMS,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y,"PO BOX 340
LIND"
LIND-RITZVILLE HIGH SCHOOL,2016-17,Y,56,80.4,8.9,0,8.9,0,0,7.1,7.1,3.6,1.8,5.4,5.4,45,5,0,5,0,0,4,4,2,1,3,3,LIND SCHOOL DISTRICT,ADAMS,EDUCATIONAL SERVICE DISTRICT 101,12-Sep,N,N,"PO BOX 340
LIND"
LITTLE STAR MONTESSORI SCHOOL,2016-17,Y,3,66.7,33.3,0,33.3,0,0,0,0,0,0,33.3,0,2,1,0,1,0,0,0,0,0,0,1,0,METHOW VALLEY SCHOOL DISTRICT,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-K,Y,N,"PO BOX 608
WINTHROP"
LITTLEROCK ELEMENTARY SCHOOL,2016-17,Y,338,87.6,6.8,1.5,5.9,0,0,3.6,3.3,3.8,4.1,5.3,4.4,296,23,5,20,0,0,12,11,13,14,18,15,TUMWATER SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y,"BOX C
LITTLEROCK"
MORTON ELEMENTARY SCHOOL,2016-17,Y,166,74.7,3.6,1.2,2.4,0,0,3,3,3,3,3,3.6,124,6,2,4,0,0,5,5,5,5,5,6,MORTON SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y,"PO BOX L
MORTON"
LYLE HIGH SCHOOL,2016-17,Y,77,29.9,5.2,1.3,3.9,0,0,2.6,2.6,5.2,1.3,3.9,2.6,23,4,1,3,0,0,2,2,4,1,3,2,LYLE SCHOOL DISTRICT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,12-Sep,N,N,"P.O. BOX 368
LYLE"
LYLE MIDDLE SCHOOL,2016-17,Y,55,7.3,7.3,0,3.6,3.6,0,5.5,5.5,7.3,7.3,5.5,7.3,4,4,0,2,2,0,3,3,4,4,3,4,LYLE SCHOOL DISTRICT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,8-Jul,N,N,"P.O. BOX 368
LYLE"
LYMAN ELEMENTARY SCHOOL,2016-17,Y,167,90.4,4.8,0.6,4.2,0,0,1.2,1.2,1.2,1.2,2.4,3.6,151,8,1,7,0,0,2,2,2,2,4,6,SEDRO-WOOLLEY SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,"PO BOX 1308
LYMAN"
MABTON JR SR HIGH SCHOOL,2016-17,Y,365,92.1,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,MABTON SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,12-Jul,N,N,"P.O. BOX 38
MABTON"
MANSFIELD ELEM AND HIGH SCHOOL,2016-17,Y,102,78.4,1,0,0,1,0,1,1,1,1,1,1,80,1,0,0,1,0,1,1,1,1,1,1,MANSFIELD SCHOOL DISTRICT,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-12,Y,Y,"P.O. BOX 188
MANSFIELD"
MANSON ELEMENTARY,2016-17,Y,311,93.9,3.2,1,2.6,0,0,2.6,2.6,2.3,2.6,1.6,2.6,292,10,3,8,0,0,8,8,7,8,5,8,MANSON SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N,"BOX A
MANSON"
MANSON MIDDLE HIGH SCHOOL,2016-17,Y,202,93.1,3,0.5,2.5,0,0,2,1,1,1,1.5,0.5,188,6,1,5,0,0,4,2,2,2,3,1,MANSON SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,12-Jun,N,Y,"PO BOX A
MANSON"
MAPLE GROVE K-8,2016-17,Y,482,76.6,18.3,2.5,13.9,0.8,1.5,14.5,14.7,13.7,12.9,11.4,14.1,369,88,12,67,4,7,70,71,66,62,55,68,BATTLE GROUND SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K-8,Y,Y,"PO BOX 200
BATTLE GROUND"
MARLIN HUTTERITE SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,WILSON CREEK SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,P-12,Y,Y,"21344 RD 18 NE
WARDEN"
MARY M KNIGHT ELEMENTARY,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,MARY M KNIGHT SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y,"1500 W BEEVILLE LOOP RD
ELMA"
MARY WALKER HIGH SCHOOL,2016-17,Y,179,47.5,11.7,1.1,8.9,2.2,0,8.4,7.8,6.7,5,5.6,10.1,85,21,2,16,4,0,15,14,12,9,10,18,MARY WALKER SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,12-Sep,N,N,"PO BOX 159
SPRINGDALE"
MATTAWA ELEMENTARY,2016-17,Y,415,94,0.5,0,0.5,0,0,0.5,0.5,0.2,0.5,0,0.2,390,2,0,2,0,0,2,2,1,2,0,1,WAHLUKE SCHOOL DISTRICT,GRANT,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N,"P.O. BOX 907
MATTAWA"
MCKENNA ELEMENTARY,2016-17,Y,494,92.5,4.3,1.2,2.8,0.4,0,3.4,3.2,3.6,3.6,3.2,4.3,457,21,6,14,2,0,17,16,18,18,16,21,YELM SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y,"PO BOX 476
YELM"
MEDICAL LAKE ALTERNATIVE HIGH SCHOOL,2016-17,Y,32,68.8,6.3,3.1,6.3,0,0,6.3,3.1,6.3,3.1,3.1,6.3,22,2,1,2,0,0,2,1,2,1,1,2,MEDICAL LAKE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,12-Sep,N,N,"PO BOX 128
MEDICAL LAKE"
MEDICAL LAKE HIGH SCHOOL,2016-17,Y,542,87.6,7.2,1.5,5.5,0.2,0.4,4.4,3.7,3.1,3.3,4.8,4.6,475,39,8,30,1,2,24,20,17,18,26,25,MEDICAL LAKE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,12-Sep,N,N,"PO BOX 128
MEDICAL LAKE"
MEDICAL LAKE MIDDLE SCHOOL,2016-17,Y,390,90,3.3,1.3,2.1,0.3,0,2.1,2.1,1.5,1.5,1.3,2.8,351,13,5,8,1,0,8,8,6,6,5,11,MEDICAL LAKE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,8-Jun,N,Y,"PO BOX 128
MEDICAL LAKE"
MERIWETHER ELEMENTARY SCHOOL,2016-17,Y,337,93.2,2.1,2.1,0.3,0.3,0,1.8,2.1,1.8,1.8,1.5,1.8,314,7,7,1,1,0,6,7,6,6,5,6,CLOVER PARK SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,Y,N,"10285 COMPASS AVE
JBLM LEWIS MCCHORD"
MESA ELEMENTARY,2016-17,Y,175,86.3,5.7,0.6,5.1,0,0,4,4,5.1,4.6,3.4,5.7,151,10,1,9,0,0,7,7,9,8,6,10,NORTH FRANKLIN SCHOOL DISTRICT,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K -6,Y,Y,"600 W PEPIOT
MESA"
MICHAEL ANDERSON ELEMENTARY,2016-17,Y,427,93.7,3.5,2.6,0.9,0,0,1.6,1.6,1.4,1.6,0.9,2.1,400,15,11,4,0,0,7,7,6,7,4,9,MEDICAL LAKE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N,"400 W. FAIRCHILD HIGHWAY
FAIRCHILD AFB"
MILL CREEK ELEMENTARY,2016-17,Y,672,92.6,5.4,1.2,3.7,0.4,0.1,3.4,3.4,3.9,3.7,3.6,4.5,622,36,8,25,3,1,23,23,26,25,24,30,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N,"3400 148TH ST. SE
EVERETT"
MILL A ELEMENTARY SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,MILL A SCHOOL DISTRICT,SKAMANIA,EDUCATIONAL SERVICE DISTRICT 112,K -8,Y,Y,"1142 JESSUP ROAD
COOK
(45.75793, -121.648767)"
MILL POND ELEMENTARY SCHOOL,2016-17,Y,519,85.4,4.2,1.7,2.5,0.4,0,3.1,2.9,3.1,2.9,2.7,3.3,443,22,9,13,2,0,16,15,16,15,14,17,YELM SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y,"PO BOX 476
YELM"
MONTESANO LEARNING ACADEMY,2016-17,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MONTESANO SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,13-Jul,N,N,"MONTESANO LEARNING ACADEMY
MONTESANO"
MORRIS SCHOTT ELEMENTARY,2016-17,Y,274,98.9,0.4,0,0,0,0.4,0,0,0,0.4,0,0.4,271,1,0,0,0,1,0,0,0,1,0,1,WAHLUKE SCHOOL DISTRICT,GRANT,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N,"P.O. BOX 907
MATTAWA"
MONTESSORI CHILDRENS HOUSE OF LONGVIEW,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,LONGVIEW SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,PK-K,Y,N,"3137 COLUMBIA HEIGHTS RD
LONGVIEW
(46.162701, -122.941042)"
MORTON JUNIOR-SENIOR HIGH,2016-17,Y,158,58.9,4.4,0.6,3.8,0,0,3.2,3.2,3.8,3.8,3.2,4.4,93,7,1,6,0,0,5,5,6,6,5,7,MORTON SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,12-Jul,N,N,"PO BOX F
MORTON"
MOSSYROCK ACADEMY,2016-17,Y,9,66.7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,MOSSYROCK SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,K -12,Y,Y,"P.O. BOX 478
MOSSYROCK"
MOSSYROCK ELEMENTARY SCHOOL,2016-17,Y,297,91.2,4,1.7,1.7,0.3,0.3,3,3,3.4,3.4,3,4,271,12,5,5,1,1,9,9,10,10,9,12,MOSSYROCK SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y,"P O BOX 455
MOSSYROCK"
MOSSYROCK JR./SR. HIGH SCHOOL,2016-17,Y,206,88.8,6.3,0,4.4,0.5,1.9,5.8,5.3,2.9,3.4,3.4,4.4,183,13,0,9,1,4,12,11,6,7,7,9,MOSSYROCK SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,12-Jul,N,N,"PO BOX 454
MOSSYROCK"
MOUNT ADAMS MIDDLE SCHOOL,2016-17,Y,131,99.2,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,MOUNT ADAMS SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,8-Jul,N,N,"P.O. BOX 578
WHITE SWAN"
MOUNT BAKER ACADEMY,2016-17,Y,33,57.6,18.2,6.1,12.1,0,0,18.2,18.2,18.2,15.2,15.2,18.2,19,6,2,4,0,0,6,6,6,5,5,6,MOUNT BAKER SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -12,Y,Y,"PO BOX 9
ACME"
MOUNTAIN MEADOW ELEMENTARY,2016-17,Y,489,93.9,5.7,2.7,2.9,0.2,0,3.3,3.3,3.7,4.5,3.5,4.1,459,28,13,14,1,0,16,16,18,22,17,20,WHITE RIVER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"PO BOX 2390
BUCKLEY"
MOXEE ELEMENTARY,2016-17,Y,515,98.6,1.4,0,1.4,0,0,0.8,0.8,0.6,0.8,1,0.8,508,7,0,7,0,0,4,4,3,4,5,4,EAST VALLEY SCHOOL DISTRICT (YAKIMA),YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N,"PO BOX 69
MOXEE"
MOUNTAIN VIEW CHRISTIAN SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,RIDGEFIELD SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,PK-8,Y,Y,"2810 NE 259TH ST
RIDGEFIELD
(45.808783, -122.642195)"
MT. OLIVE LUTHERAN SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,SHELTON SCHOOL DISTRICT,MASON,EDUCATIONAL SERVICE DISTRICT 113,K-1,Y,N,"206 E WYANDOTTE
SHELTON"
N OMAK ELEMENTARY,2016-17,Y,406,88.7,2.2,0.7,1.7,0,0,1.5,1.5,1.7,1.7,1.7,1.2,360,9,3,7,0,0,6,6,7,7,7,5,OMAK SCHOOL DISTRICT,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-2,Y,N,"P O BOX 833
OMAK"
NACHES VALLEY ELEMENTARY SCHOOL,2016-17,Y,491,95.5,3.3,0.6,2.2,0.4,0,2,2.2,2,2.2,2.2,2,469,16,3,11,2,0,10,11,10,11,11,10,NACHES VALLEY SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -4,Y,N,"151 BONLOW DR
YAKIMA"
NACHES VALLEY HIGH SCHOOL,2016-17,Y,449,92.9,5.1,0.9,4.5,0,0.2,2.9,2.9,1.8,1.6,1.3,2.9,417,23,4,20,0,1,13,13,8,7,6,13,NACHES VALLEY SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,12-Sep,N,N,"PO BOX 159
NACHES"
NACHES VALLEY MIDDLE SCHOOL,2016-17,Y,391,93.4,4.3,0.5,3.8,0.3,0,1.5,1.5,1.5,1,3.1,1.3,365,17,2,15,1,0,6,6,6,4,12,5,NACHES VALLEY SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,8-May,N,Y,"PO BOX 39
NACHES"
NAPAVINE ELEMENTARY,2016-17,Y,433,95.2,4.6,1.2,2.3,1.2,0,2.8,3,3,2.8,2.8,3.2,412,20,5,10,5,0,12,13,13,12,12,14,NAPAVINE SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y,"PO BOX 837
NAPAVINE"
NAPAVINE JR SR HIGH SCHOOL,2016-17,Y,352,96.3,3.7,1.1,2,0.6,0,3.1,3.1,2.8,2.3,2.6,0,339,13,4,7,2,0,11,11,10,8,9,0,NAPAVINE SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,12-Jul,N,N,"PO BOX 357
NAPAVINE"
NEAH BAY ELEMENTARY SCHOOL,2016-17,Y,182,89.6,9.9,1.6,6.6,2.2,0,7.7,7.7,7.7,8.2,6,9.9,163,18,3,12,4,0,14,14,14,15,11,18,CAPE FLATTERY SCHOOL DISTRICT,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -5,Y,N,"3560 DEER STREET
NEAH BAY"
NEAH BAY JUNIOR/ SENIOR HIGH SCHOOL,2016-17,Y,175,92,6.9,0.6,5.1,1.7,0,5.7,5.1,1.7,1.7,0,4,161,12,1,9,3,0,10,9,3,3,0,7,CAPE FLATTERY SCHOOL DISTRICT,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,12-Jun,N,Y,"3560 DEER STREET
NEAH BAY"
NESPELEM ELEMENTARY,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,NESPELEM SCHOOL DISTRICT,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-8,Y,Y,"PO BOX 291
NESPELEM"
NEW MARKET HIGH SCHOOL,2016-17,Y,68,64.7,2.9,1.5,1.5,0,0,1.5,1.5,0,0,0,1.5,44,2,1,1,0,0,1,1,0,0,0,1,TUMWATER SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,12-Oct,N,N,"7299 NEW MARKET S SW
TUMWATER"
NEW MARKET SKILLS CENTER,2016-17,Y,400,2.8,0.3,0,0.3,0,0,0.3,0.3,0.3,0.3,0,0.3,11,1,0,1,0,0,1,1,1,1,0,1,TUMWATER SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,12-Nov,N,N,"7299 NEW MARKET STREET
TUMWATER"
NEWPORT HIGH SCHOOL,2016-17,Y,351,53.6,18.2,2.6,14.2,1.4,0,6.6,5.1,8.3,5.4,6.6,13.1,188,64,9,50,5,0,23,18,29,19,23,46,NEWPORT SCHOOL DISTRICT,PEND OREILLE,EDUCATIONAL SERVICE DISTRICT 101,12-Sep,N,N,"P. O. BOX 70
NEWPORT"
NORTH BEACH JUNIOR HIGH SCHOOL,2016-17,Y,105,64.8,9.5,1,7.6,0,1,6.7,5.7,5.7,5.7,4.8,8.6,68,10,1,8,0,1,7,6,6,6,5,9,NORTH BEACH SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,8-Jul,N,N,"PO BOX 969
OCEAN SHORES"
NORTH BEACH SENIOR HIGH SCHOOL,2016-17,Y,206,65.5,5.3,1,4.4,0,0,4.4,4.4,3.9,2.9,2.4,2.9,135,11,2,9,0,0,9,9,8,6,5,6,NORTH BEACH SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,12-Sep,N,N,"P.O. BOX 969
OCEAN SHORES"
NORTHPORT ELEMENTARY SCHOOL,2016-17,Y,110,46.4,18.2,0.9,17.3,0.9,0,14.5,12.7,15.5,13.6,10.9,15.5,51,20,1,19,1,0,16,14,17,15,12,17,NORTHPORT SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,K -8,Y,Y,"PO BOX 1280
NORTHPORT"
